2025-07-10 17:37:07 [START] Starting comprehensive compliance scan
2025-07-10 17:37:07 [DATABASE] Discovering scripts from databases
2025-07-10 17:37:07 [SUCCESS] Found 1673 scripts in production.db enterprise_script_tracking
2025-07-10 17:37:07 [WARNING] Could not access script_tracking: no such column: script_path
2025-07-10 17:37:07 [SUCCESS] Found 6 scripts in analytics.db pis_violations
2025-07-10 17:37:07 [SUCCESS] Found 0 scripts in analytics.db compliance_violations
2025-07-10 17:37:07 [INFO] Total unique scripts discovered: 1673
2025-07-10 17:37:07 [SCAN] Checking script 1/1673: backups\pattern_fixes_20250709_135509\scripts\zero_tolerance_visual_processing_engine.py
2025-07-10 17:37:07 [SCAN] Checking script 2/1673: backups\pattern_fixes_20250709_143948\scripts\enterprise_scaling_validation.py
2025-07-10 17:37:07 [SCAN] Checking script 3/1673: backups\enhanced_corrections_20250709_144521\mission_completion_orchestrator.py
2025-07-10 17:37:07 [SCAN] Checking script 4/1673: scripts\deployment\enterprise_database_query_validator.py
2025-07-10 17:37:08 [SCAN] Checking script 5/1673: backups\pattern_fixes_20250709_144111\scripts\regenerated\python_312_upgrade_manager.py
2025-07-10 17:37:08 [SCAN] Checking script 6/1673: backups\pattern_fixes_20250709_135525\scripts\regenerated\generated_scripts\basic_utility_demo.py
2025-07-10 17:37:08 [SCAN] Checking script 7/1673: scripts\deployment\critical_script_sync_operation.py
2025-07-10 17:37:09 [SCAN] Checking script 8/1673: backups\pattern_fixes_20250709_135603\scripts\deployment\enterprise_deployment_preparation.py
2025-07-10 17:37:09 [SCAN] Checking script 9/1673: scripts\deployment\DEPLOY_ENTERPRISE_GH_COPILOT.py
2025-07-10 17:37:10 [SCAN] Checking script 10/1673: backups\pattern_fixes_20250709_135512\web_gui_integration_system.py
2025-07-10 17:37:10 [SCAN] Checking script 11/1673: backups\pattern_fixes_20250709_143910\scripts\deployment\intelligent_code_analysis_placeholder_detection.py
2025-07-10 17:37:10 [SCAN] Checking script 12/1673: backups\enhanced_corrections_20250709_144521\disaster_recovery_enhancer_edited.py
2025-07-10 17:37:10 [SCAN] Checking script 13/1673: scripts\deployment\phase_4_environment_adaptation.py
2025-07-10 17:37:10 [SCAN] Checking script 14/1673: backups\pattern_fixes_20250709_144040\scripts\deployment\AUTONOMOUS_PRODUCTION_CREATOR.py
2025-07-10 17:37:10 [SCAN] Checking script 15/1673: scripts\FINAL_PRODUCTION_COMPLETER.py
2025-07-10 17:37:11 [SCAN] Checking script 16/1673: backups\enhanced_corrections_20250709_144836\configuration_recovery_engine.py
2025-07-10 17:37:11 [SCAN] Checking script 17/1673: backups\pattern_fixes_20250709_135531\scripts\regenerated\enterprise_visual_processing_engine_fixed.py
2025-07-10 17:37:11 [SCAN] Checking script 18/1673: backups\pattern_fixes_20250709_135552\scripts\deployment\enterprise_database_query_validator.py
2025-07-10 17:37:11 [SCAN] Checking script 19/1673: backups\enhanced_corrections_20250709_144836\session_wrap_up_generator.py
2025-07-10 17:37:11 [SCAN] Checking script 20/1673: backups\pattern_fixes_20250709_144143\scripts\deployment\github_copilot_instruction_set_validator.py
2025-07-10 17:37:11 [SCAN] Checking script 21/1673: enhanced_database_first_integrator.py
2025-07-10 17:37:12 [SCAN] Checking script 22/1673: backups\pattern_fixes_20250709_135505\scripts\regenerated\enterprise_deployment\simplified_cache_deployment.py
2025-07-10 17:37:12 [SCAN] Checking script 23/1673: scripts\deployment\final_web_gui_validation_and_certification.py
2025-07-10 17:37:12 [SCAN] Checking script 24/1673: backups\enhanced_corrections_20250709_135232\ADVANCED_AUTONOMOUS_FRAMEWORK_7_PHASE_COMPREHENSIVE_SCOPE.py
2025-07-10 17:37:12 [SCAN] Checking script 25/1673: backups\pattern_fixes_20250709_144114\scripts\intelligent_code_analyzer.py
