2025-07-10 10:21:29,213 | INFO | QUANTUM-CLUSTERING | [OK] Quantum clustering tables created
2025-07-10 10:21:29,214 | INFO | QUANTUM-CLUSTERING | [DB] Quantum clustering database initialized
2025-07-10 10:21:29,214 | INFO | QUANTUM-CLUSTERING | [Q] Quantum File Clusterer initialized
2025-07-10 10:21:29,214 | INFO | QUANTUM-CLUSTERING | Session ID: c5956b7e-8930-4a51-92a3-c1115344d0dd
2025-07-10 10:21:29,215 | INFO | QUANTUM-CLUSTERING | [CLUST] Starting Quantum K-means Clustering...
2025-07-10 10:21:30,031 | INFO | QUANTUM-CLUSTERING | [OK] Quantum K-means completed: 5 clusters
2025-07-10 10:21:30,032 | INFO | QUANTUM-CLUSTERING | [Q] Quantum Advantage: 0.32x
2025-07-10 10:21:30,033 | INFO | QUANTUM-CLUSTERING | [CLUST] Starting Quantum Hierarchical Clustering...
2025-07-10 10:21:30,182 | ERROR | QUANTUM-CLUSTERING | Failed to record clustering session: UNIQUE constraint failed: quantum_clustering_sessions.session_id
2025-07-10 10:21:30,198 | INFO | QUANTUM-CLUSTERING | [OK] Quantum Hierarchical completed: 1 clusters
2025-07-10 10:21:30,198 | INFO | QUANTUM-CLUSTERING | [Q] Quantum Advantage: 1.68x
2025-07-10 10:21:30,199 | INFO | QUANTUM-CLUSTERING | [ORG] Organizing files with quantum enhancement...
2025-07-10 10:21:30,214 | INFO | QUANTUM-CLUSTERING | [OK] File organization plan created
2025-07-10 10:21:30,214 | INFO | QUANTUM-CLUSTERING |   Files to move: 50
2025-07-10 10:21:30,215 | INFO | QUANTUM-CLUSTERING |   Directories to create: 5
2025-07-10 10:21:30,215 | INFO | QUANTUM-CLUSTERING |   Organization efficiency: 1.947
2025-07-10 10:21:30,215 | INFO | QUANTUM-CLUSTERING | [Q] Detecting file patterns with quantum algorithms...
2025-07-10 10:21:30,217 | INFO | QUANTUM-CLUSTERING | [OK] Pattern detection completed
2025-07-10 10:21:30,217 | INFO | QUANTUM-CLUSTERING |   Naming patterns: 0
2025-07-10 10:21:30,217 | INFO | QUANTUM-CLUSTERING |   Structure patterns: 2
2025-07-10 10:21:30,217 | INFO | QUANTUM-CLUSTERING |   Quantum Advantage: 124.85x
