2025-07-09 23:54:11,281 | INFO | PIS-FRAMEWORK | PIS FRAMEWORK INITIALIZED - SESSION: 80f643a0-2bdb-4d3f-8c5d-05e12d07ba75
2025-07-09 23:54:11,281 | INFO | PIS-FRAMEWORK | STARTING COMPREHENSIVE PIS FRAMEWORK EXECUTION
2025-07-09 23:54:11,281 | INFO | PIS-FRAMEWORK | ================================================================================
2025-07-09 23:54:11,288 | INFO | PIS-FRAMEWORK | ENTERPRISE ZERO-TOLERANCE STANDARDS ACTIVE
2025-07-09 23:54:11,288 | INFO | PIS-FRAMEWORK | DUAL COPILOT VALIDATION ENABLED
2025-07-09 23:54:11,288 | INFO | PIS-FRAMEWORK | ANTI-RECURSION PROTOCOL ACTIVE
2025-07-09 23:54:11,288 | INFO | PIS-FRAMEWORK | VISUAL PROCESSING INDICATORS ENABLED
2025-07-09 23:54:11,288 | INFO | PIS-FRAMEWORK | ================================================================================
2025-07-09 23:54:11,288 | INFO | PIS-FRAMEWORK | EXECUTING PHASE 1: STRATEGIC PLANNING
2025-07-09 23:54:11,288 | INFO | PIS-FRAMEWORK | ================================================================================
2025-07-09 23:54:11,288 | INFO | PIS-FRAMEWORK | PIS PHASE 1: STRATEGIC PLANNING & DATABASE SETUP
2025-07-09 23:54:11,288 | INFO | PIS-FRAMEWORK | ================================================================================
2025-07-09 23:54:11,336 | INFO | PIS-FRAMEWORK | INITIALIZING ENTERPRISE DATABASE CONNECTIONS...
2025-07-09 23:54:11,336 | INFO | PIS-FRAMEWORK | Production database connected
2025-07-09 23:54:11,336 | INFO | PIS-FRAMEWORK | Analytics database connected
2025-07-09 23:54:11,341 | INFO | PIS-FRAMEWORK | Analytics tables created/updated successfully
2025-07-09 23:54:11,341 | INFO | PIS-FRAMEWORK | ACTIVATING ANTI-RECURSION PROTOCOL...
2025-07-09 23:54:11,341 | INFO | PIS-FRAMEWORK | ANTI-RECURSION PROTOCOL ACTIVE
2025-07-09 23:54:11,560 | INFO | PIS-FRAMEWORK | DISCOVERED 445 SCRIPTS FROM DATABASE
2025-07-09 23:54:11,592 | INFO | PIS-FRAMEWORK | STRATEGIC ASSESSMENT: 445 scripts
2025-07-09 23:54:11,848 | INFO | PIS-FRAMEWORK | PHASE 1 COMPLETE - 445 scripts discovered
2025-07-09 23:54:11,848 | INFO | PIS-FRAMEWORK | EXECUTING PHASE 2: COMPLIANCE SCAN
2025-07-09 23:54:11,848 | INFO | PIS-FRAMEWORK | ================================================================================
2025-07-09 23:54:11,848 | INFO | PIS-FRAMEWORK | PIS PHASE 2: COMPLIANCE SCAN & ASSESSMENT
2025-07-09 23:54:11,848 | INFO | PIS-FRAMEWORK | ================================================================================
2025-07-09 23:54:11,914 | INFO | PIS-FRAMEWORK | DISCOVERED 445 SCRIPTS FROM DATABASE
2025-07-09 23:56:21,499 | ERROR | PIS-FRAMEWORK | ANALYTICS SAVE FAILED: table compliance_scans has no column named session_id
2025-07-09 23:56:21,499 | INFO | PIS-FRAMEWORK | PHASE 2 COMPLETE - Compliance Score: 2.92%
2025-07-09 23:56:21,513 | INFO | PIS-FRAMEWORK | EXECUTING PHASE 3: AUTOMATED CORRECTION
2025-07-09 23:56:21,513 | INFO | PIS-FRAMEWORK | ================================================================================
2025-07-09 23:56:21,513 | INFO | PIS-FRAMEWORK | PIS PHASE 3: AUTOMATED CORRECTION & REGENERATION
2025-07-09 23:56:21,513 | INFO | PIS-FRAMEWORK | ================================================================================
2025-07-09 23:56:21,516 | ERROR | PIS-FRAMEWORK | BACKUP CREATION FAILED: 'scripts\\production_db_comprehensive_script_analysis.py' is not in the subpath of 'E:\\gh_COPILOT'
2025-07-09 23:56:21,516 | INFO | PIS-FRAMEWORK | BACKUP CREATED: 
2025-07-09 23:56:22,308 | INFO | PIS-FRAMEWORK | PHASE 3 COMPLETE - 2528 violations corrected
2025-07-09 23:56:22,309 | INFO | PIS-FRAMEWORK | ================================================================================
2025-07-09 23:56:22,311 | INFO | PIS-FRAMEWORK | COMPREHENSIVE PIS EXECUTION COMPLETE
2025-07-09 23:56:22,317 | INFO | PIS-FRAMEWORK | Total Duration: 131.02s
2025-07-09 23:56:22,321 | INFO | PIS-FRAMEWORK | Phases Completed: 3
2025-07-09 23:56:22,322 | INFO | PIS-FRAMEWORK | ================================================================================
2025-07-09 23:56:22,353 | INFO | PIS-FRAMEWORK | COMPREHENSIVE REPORT SAVED: reports\pis_comprehensive\pis_comprehensive_report_20250709_235622.json
