2025-07-10 00:59:31,024 | INFO | PIS-FRAMEWORK | PIS FRAMEWORK INITIALIZED - SESSION: 102900a1-c4b5-4909-8b16-e7e37bba0903
2025-07-10 00:59:31,024 | INFO | PIS-FRAMEWORK | STARTING COMPREHENSIVE PIS FRAMEWORK EXECUTION
2025-07-10 00:59:31,025 | INFO | PIS-FRAMEWORK | ================================================================================
2025-07-10 00:59:31,025 | INFO | PIS-FRAMEWORK | ENTERPRISE ZERO-TOLERANCE STANDARDS ACTIVE
2025-07-10 00:59:31,026 | INFO | PIS-FRAMEWORK | DUAL COPILOT VALIDATION ENABLED
2025-07-10 00:59:31,026 | INFO | PIS-FRAMEWORK | ANTI-RECURSION PROTOCOL ACTIVE
2025-07-10 00:59:31,026 | INFO | PIS-FRAMEWORK | VISUAL PROCESSING INDICATORS ENABLED
2025-07-10 00:59:31,028 | INFO | PIS-FRAMEWORK | ================================================================================
2025-07-10 00:59:31,028 | INFO | PIS-FRAMEWORK | EXECUTING PHASE 1: STRATEGIC PLANNING
2025-07-10 00:59:31,029 | INFO | PIS-FRAMEWORK | ================================================================================
2025-07-10 00:59:31,029 | INFO | PIS-FRAMEWORK | PIS PHASE 1: STRATEGIC PLANNING & DATABASE SETUP
2025-07-10 00:59:31,029 | INFO | PIS-FRAMEWORK | ================================================================================
2025-07-10 00:59:31,062 | INFO | PIS-FRAMEWORK | INITIALIZING ENTERPRISE DATABASE CONNECTIONS...
2025-07-10 00:59:31,063 | INFO | PIS-FRAMEWORK | Production database connected
2025-07-10 00:59:31,064 | INFO | PIS-FRAMEWORK | Analytics database connected
2025-07-10 00:59:31,066 | INFO | PIS-FRAMEWORK | Analytics tables created/updated successfully
2025-07-10 00:59:31,427 | INFO | PIS-FRAMEWORK | Workspace validation successful: 1648 Python files found
2025-07-10 00:59:31,428 | INFO | PIS-FRAMEWORK | Anti-recursion protocol activated
2025-07-10 00:59:31,855 | INFO | PIS-FRAMEWORK | Discovered 1635 Python scripts for processing
2025-07-10 00:59:32,229 | INFO | PIS-FRAMEWORK | Strategic assessment complete: 1635 files analyzed
2025-07-10 00:59:32,230 | INFO | PIS-FRAMEWORK | PHASE 1 COMPLETE - 1635 scripts discovered
2025-07-10 00:59:32,231 | INFO | PIS-FRAMEWORK | EXECUTING PHASE 2: COMPLIANCE SCAN
2025-07-10 00:59:32,232 | INFO | PIS-FRAMEWORK | ================================================================================
2025-07-10 00:59:32,232 | INFO | PIS-FRAMEWORK | PIS PHASE 2: COMPLIANCE SCAN & ASSESSMENT
2025-07-10 00:59:32,232 | INFO | PIS-FRAMEWORK | ================================================================================
2025-07-10 00:59:32,775 | INFO | PIS-FRAMEWORK | Discovered 1635 Python scripts for processing
2025-07-10 00:59:32,776 | ERROR | PIS-FRAMEWORK | PHASE 2 FAILED: 'ComprehensivePISFramework' object has no attribute '_scan_file_compliance'
2025-07-10 00:59:32,777 | ERROR | PIS-FRAMEWORK | PHASE 2 FAILED - ABORTING PIS EXECUTION
